"U.S. Home Price and Related data, for Figure 3.1 in Robert J. Shiller, Irrational Exuberance, 3rd. Edition, Princeton University Press, 2015, as updated by author",,,,,,,,,,,,,,,,,,
See the book for description of data.,,,,"Update Nominal Home Price Index, Click Additional Information, National Index: https://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller",,,,,,,,,,,,,,
"Monthly data from January 1953 for prices, all other data are annual.",,,,,,,,Nominal,,,,,,,,,,
,Real,,Real,,,,,Home,,,Nominal,,,Consumer,,,,
,Home,,Building,U.S.,,,,Price,HPI,,Building,,,Price,CPI Annual&,,,
,Price,,Cost,Population,,Long Rate,,Index,Source,,Cost,Build Cost,,Index,Quarterly,,,CPI
Date,Index,Date,Index,Millions,Long Rate,Source,Date,From fig2.1Revised2011.xls,,Date,Index,Source,Date,,,,Date,Annual
1956.375,113.4076293,1993,78.88788054,260.282,6.6,Fed. Res.,1956.375,14.31024852,PHCPI,1993,,ENR,1956.375,27.00,BLS,,1993,142.6
1956.458333,113.7463929,1994,79.89887109,263.455,5.75,Fed. Res.,1956.458333,14.45931361,PHCPI,1994,,ENR,1956.458333,27.20,BLS,,1994,146.2
1956.541667,113.8215258,1995,77.7443098,266.588,7.78,Fed. Res.,1956.541667,14.57525312,PHCPI,1995,,ENR,1956.541667,27.40,BLS,,1995,150.3
1956.625,115.017353,1996,77.89285948,269.714,5.65,Fed. Res.,1956.625,14.67462985,PHCPI,1996,,ENR,1956.625,27.30,BLS,,1996,154.4
1956.708333,114.468239,1997,79.39146429,272.958,6.58,Fed. Res.,1956.708333,14.65806706,PHCPI,1997,,ENR,1956.708333,27.40,BLS,,1997,159.1
1956.791667,113.9231186,1998,78.79060549,276.154,5.54,Fed. Res.,1956.791667,14.64150427,PHCPI,1998,,ENR,1956.791667,27.50,BLS,,1998,161.6
1956.875,113.665374,1999,78.98128131,279.328,4.72,Fed. Res.,1956.875,14.6083787,PHCPI,1999,,ENR,1956.875,27.50,BLS,,1999,164.3
1956.958333,113.3819483,2000,78.72200105,282.398,6.66,Fed. Res.,1956.958333,14.62494149,PHCPI,2000,,ENR,1956.958333,27.60,BLS,,2000,168.8
1957.041667,113.7671644,2001,76.6401607,285.225,5.16,Fed. Res.,1957.041667,14.67462985,PHCPI,2001,,ENR,1957.041667,27.60,BLS,,2001,175.1
1957.125,114.3799872,2002,76.8135395,287.955,5.04,Fed. Res.,1957.125,14.80713215,PHCPI,2002,,ENR,1957.125,27.70,BLS,,2002,177.1
1957.208333,113.9685484,2003,76.31543516,290.626,4.05,Fed. Res.,1957.208333,14.80713215,PHCPI,2003,,ENR,1957.208333,27.80,BLS,,2003,181.7
1957.291667,114.322207,2004,80.77302579,293.262,4.15,Fed. Res.,1957.291667,14.90650888,PHCPI,2004,,ENR,1957.291667,27.90,BLS,,2004,185.2
1957.375,114.2936265,2005,82.79484772,295.993,4.22,Fed. Res.,1957.375,14.95619724,PHCPI,2005,,ENR,1957.375,28.00,BLS,,2005,190.7
1957.458333,113.5085258,2006,82.72701137,298.818,4.42,Fed. Res.,1957.458333,14.90650888,PHCPI,2006,,ENR,1957.458333,28.10,BLS,,2006,198.3
1957.541667,112.7063454,2007,83.19660676,301.696,4.76,Fed. Res.,1957.541667,14.90650888,PHCPI,2007,,ENR,1957.541667,28.30,BLS,,2007,202.416
1957.625,112.7063454,2008,83.4461592,304.543,3.74,Fed. Res.,1957.625,14.90650888,PHCPI,2008,,ENR,1957.625,28.30,BLS,,2008,211.18
1957.708333,113.0820332,2009,84.80835495,307.24,2.52,Fed. Res.,1957.708333,14.95619724,PHCPI,2009,,ENR,1957.708333,28.30,BLS,,2009,211.143
1957.791667,113.7081796,2010,84.613931,309.78,3.73,Fed. Res.,1957.791667,15.03901118,PHCPI,2010,,ENR,1957.791667,28.30,BLS,,2010,216.687
1957.875,113.3077987,2011,86.239088,312.033,3.39,Fed. Res.,1957.875,15.03901118,PHCPI,2011,,ENR,1957.875,28.40,BLS,,2011,220.223
1957.958333,113.1830104,2012,85.7096979,314.255,1.97,Fed. Res.,1957.958333,15.02244839,PHCPI,2012,,ENR,1957.958333,28.40,BLS,,2012,226.665
1958.041667,112.5154365,2013,86.05996591,316.421,1.91,Fed. Res.,1958.041667,15.03901118,PHCPI,2013,,ENR,1958.041667,28.60,BLS,,2013,230.28
1958.125,112.5154365,2014,86.4719099,318.717,2.86,Fed. Res.,1958.125,15.03901118,PHCPI,2014,,ENR,1958.125,28.60,BLS,,2014,233.916
1958.208333,112.7185205,2015,88.65392748,321.026,1.88,Fed. Res.,1958.208333,15.17151348,PHCPI,2015,,ENR,1958.208333,28.80,BLS,,2015,233.707
1958.291667,112.5737497,2016,89.46590497,323.317,2.09,Fed. Res.,1958.291667,15.20463905,PHCPI,2016,,ENR,1958.291667,28.90,BLS,,2016,236.916
1958.375,112.8190084,2017,90.15973161,325.41,2.43,Fed. Res.,1958.375,15.23776463,PHCPI,2017,,ENR,1958.375,28.90,BLS,,2017,242.839
1958.458333,112.2058616,2018,91.17875074,327.436,2.58,Fed. Res.,1958.458333,15.15495069,PHCPI,2018,,ENR,1958.458333,28.90,BLS,,2018,247.867
1958.541667,111.8189449,2019,,,2.71,Fed. Res.,1958.541667,15.15495069,PHCPI,,,,1958.541667,29.00,BLS,,2019,251.712
1958.625,112.0832323,,,,,,1958.625,15.1383879,PHCPI,,,,1958.625,28.90,BLS,,,
