Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
TDGXUSAM,"United States Exports of Goods, Balance of Payments Basis (Mil. of $, SA)",Balance of Payments,United States Dollar,United States,,,,,,,National Currency,Millions,Monthly,SA,Annual From Dec 1790 To Jul 1866<BR>Monthly From Aug 1866 To Feb 2019<BR>,"SOURCE: Pre 1866 data are from B. R. Mitchell, International Historical Statistics: The Americas 1750-2000, Fourth Edition, Stockton Press, 2003<br />Dat from   1866-1909 DATA ARE FROM MONTHLY SUMARY OF COMMERCE AND FINANCE, DECEMBER, 1910 SUPPLEMENT""CALENDAR YEAR STATEMENTS,"" 1910, PP. 1120-1126.  1910-JUNE, 1914 DATA ARE FROM SUCCESSIVE ISSUES OF MONTHLY SUMMARY OF COMMERCE AND FINANCE.  BEGINNING WITH JULY, 1914 ENTRIES, THE DATA ARE FROM MONTHLY SUMMARY OF FOREIGN COMMERCE, SUCCESSIVE ISSUES. 1942-1944 DATA ARE FROM FOREIGN COMMERCE AND NAVIGATION; BEGINNING WITH 1945, THE DATA ARE FROM MONTHLY SUMMARY OF FOREIGN COMMERCE OF THE UNITED STATES (ISSUED QUARTERLY BEGINNING IN APRIL, 1951.  BEGINNING WITH 1946 DATA, SEE SUMMARY REPORT  FT 900-E, TOTAL EXPORT TRADE.  REVISED BACK FIGURES MAY BE FOUND IN WORLD TRADE INFORMATION SERVICE   STATISTICAL REPORTS, PART 3, TOTAL EXPORT AND IMPORT TRADE OF THE UNITED STATES (THROUGH THE 1962 ISSUES); UNITED STATES DEPARTMENT OF COMMERCE, OVERSEAS BUSINESS (BUREAU OF INTERNATIONAL COMMERCE) 1962-1965 ISSUES; BUREAU OF THE CENSUS, HIGHLIGHTS OF UNITED STATES EXPORT AND IMPORT TRADE (FT 990), MONTHLY, BEGINNING IN 1967.  SCATTERED REVISIONS FOR 1946-1963 ARE FROM 1963 ISSUE OF FOREIGN COMMERCE AND NAVIGATION (PREPRINT TABLE /21/66).Source: Federal Reserve Bank of St. Louis. The data is collected from the FRED database. The FRED database uses data from the Board of Governors of the Federal Reserve System, the Federal Reserve Bank of Philadelphia, the Federal Reserve Bank of St. Louis, the Office of Federal Housing Enterprise Oversight, The White House Council of Economic Advisors and Office of Management and Budget, the Congressional Budget Office, the U.S. Department of Commerce, the U.S. Department of Housing and Urban Development, the Bureau of Labor Statistics and the U.S. Department of the Treasury.",
Date,Ticker,Open,High,Low,Close,Percent_Gdp,Annual_Percent_Change,,,,,,,,,,
12/31/1947,TDGXUSAM,,,,14430.3,5.56,48.180894,,,,,,,,,,
1/31/1948,TDGXUSAM,,,,14408,5.55,43.30757219,,,,,,,,,,
2/29/1948,TDGXUSAM,,,,14346.6,5.52,36.24372038,,,,,,,,,,
3/31/1948,TDGXUSAM,,,,14158.5,5.45,28.24031303,,,,,,,,,,
4/30/1948,TDGXUSAM,,,,13985.3,5.38,20.78784633,,,,,,,,,,
5/31/1948,TDGXUSAM,,,,13674.5,5.26,12.63168299,,,,,,,,,,
6/30/1948,TDGXUSAM,,,,13453.8,5.18,7.648484945,,,,,,,,,,
7/31/1948,TDGXUSAM,,,,13318.4,5.13,3.830172058,,,,,,,,,,
8/31/1948,TDGXUSAM,,,,13165.2,5.07,0.582936687,,,,,,,,,,
9/30/1948,TDGXUSAM,,,,12979,5,-4.271247446,,,,,,,,,,
10/31/1948,TDGXUSAM,,,,12767.3,4.92,-10.44513341,,,,,,,,,,
11/30/1948,TDGXUSAM,,,,12449.2,4.79,-13.62100428,,,,,,,,,,
12/31/1948,TDGXUSAM,,,,12653.1,4.51,-12.31575227,,,,,,,,,,
1/31/1949,TDGXUSAM,,,,12666.6,4.52,-12.08634092,,,,,,,,,,
2/28/1949,TDGXUSAM,,,,12625.4,4.5,-12.37229317,,,,,,,,,,
3/31/1949,TDGXUSAM,,,,12676,4.52,-10.47074196,,,,,,,,,,
4/30/1949,TDGXUSAM,,,,12727.6,4.54,-8.993014093,,,,,,,,,,
5/31/1949,TDGXUSAM,,,,12720.1,4.54,-6.979414238,,,,,,,,,,
6/30/1949,TDGXUSAM,,,,12813.8,4.57,-4.757020321,,,,,,,,,,
7/31/1949,TDGXUSAM,,,,12695,4.53,-4.680742432,,,,,,,,,,
8/31/1949,TDGXUSAM,,,,12587.9,4.49,-4.385045423,,,,,,,,,,
9/30/1949,TDGXUSAM,,,,12572.3,4.48,-3.133523384,,,,,,,,,,
10/31/1949,TDGXUSAM,,,,12404.9,4.42,-2.838501484,,,,,,,,,,
11/30/1949,TDGXUSAM,,,,12423.6,4.43,-0.205635703,,,,,,,,,,
12/31/1949,TDGXUSAM,,,,12051.1,4.45,-4.757727355,,,,,,,,,,
1/31/1950,TDGXUSAM,,,,11686.9,4.32,-7.734514392,,,,,,,,,,
2/28/1950,TDGXUSAM,,,,11407.8,4.22,-9.644050882,,,,,,,,,,
3/31/1950,TDGXUSAM,,,,11078.8,4.09,-12.60018933,,,,,,,,,,
4/30/1950,TDGXUSAM,,,,10709.4,3.96,-15.85687797,,,,,,,,,,
