Date,Ticker,Open,High,Low,Close,Real_Open,Real_High,Real_Low,Real_Close,Close_Percent_Change,Period_Change,,,,,,,
11/30/1984,CPUSAM,,,,105.3,,,,254.202,0,0,,,,,,,
12/31/1984,CPUSAM,,,,105.3,,,,254.202,0,0,,,,,,,
1/31/1985,CPUSAM,,,,105.5,,,,254.202,0.001899335,0.2,,,,,,,
2/28/1985,CPUSAM,,,,106,,,,254.202,0.004739336,0.5,,,,,,,
3/31/1985,CPUSAM,,,,106.4,,,,254.202,0.003773585,0.4,,,,,,,
4/30/1985,CPUSAM,,,,106.9,,,,254.202,0.004699248,0.5,,,,,,,
5/31/1985,CPUSAM,,,,107.3,,,,254.202,0.003741815,0.4,,,,,,,
6/30/1985,CPUSAM,,,,107.6,,,,254.202,0.002795899,0.3,,,,,,,
7/31/1985,CPUSAM,,,,107.8,,,,254.202,0.001858736,0.2,,,,,,,
8/31/1985,CPUSAM,,,,108,,,,254.202,0.001855288,0.2,,,,,,,
9/30/1985,CPUSAM,,,,108.3,,,,254.202,0.002777778,0.3,,,,,,,
10/31/1985,CPUSAM,,,,108.7,,,,254.202,0.003693444,0.4,,,,,,,
11/30/1985,CPUSAM,,,,109,,,,254.202,0.00275989,0.3,,,,,,,
12/31/1985,CPUSAM,,,,109.3,,,,254.202,0.002752294,0.3,,,,,,,
1/31/1986,CPUSAM,,,,109.6,,,,254.202,0.002744739,0.3,,,,,,,
2/28/1986,CPUSAM,,,,109.3,,,,254.202,-0.002737226,-0.3,,,,,,,
3/31/1986,CPUSAM,,,,108.8,,,,254.202,-0.004574565,-0.5,,,,,,,
4/30/1986,CPUSAM,,,,108.6,,,,254.202,-0.001838235,-0.2,,,,,,,
5/31/1986,CPUSAM,,,,108.9,,,,254.202,0.002762431,0.3,,,,,,,
6/30/1986,CPUSAM,,,,109.5,,,,254.202,0.005509642,0.6,,,,,,,
7/31/1986,CPUSAM,,,,109.5,,,,254.202,0,0,,,,,,,
8/31/1986,CPUSAM,,,,109.7,,,,254.202,0.001826484,0.2,,,,,,,
9/30/1986,CPUSAM,,,,110.2,,,,254.202,0.004557885,0.5,,,,,,,
10/31/1986,CPUSAM,,,,110.3,,,,254.202,0.000907441,0.1,,,,,,,
11/30/1986,CPUSAM,,,,110.4,,,,254.202,0.000906618,0.1,,,,,,,
12/31/1986,CPUSAM,,,,110.5,,,,254.202,0.000905797,0.1,,,,,,,
1/31/1987,CPUSAM,,,,111.2,,,,254.202,0.006334842,0.7,,,,,,,
2/28/1987,CPUSAM,,,,111.6,,,,254.202,0.003597122,0.4,,,,,,,
3/31/1987,CPUSAM,,,,112.1,,,,254.202,0.004480287,0.5,,,,,,,
4/30/1987,CPUSAM,,,,112.7,,,,254.202,0.005352364,0.6,,,,,,,
5/31/1987,CPUSAM,,,,113.1,,,,254.202,0.003549246,0.4,,,,,,,
6/30/1987,CPUSAM,,,,113.5,,,,254.202,0.003536693,0.4,,,,,,,
7/31/1987,CPUSAM,,,,113.8,,,,254.202,0.002643172,0.3,,,,,,,
8/31/1987,CPUSAM,,,,114.4,,,,254.202,0.005272408,0.6,,,,,,,
9/30/1987,CPUSAM,,,,115,,,,254.202,0.005244755,0.6,,,,,,,
10/31/1987,CPUSAM,,,,115.3,,,,254.202,0.002608696,0.3,,,,,,,
11/30/1987,CPUSAM,,,,115.4,,,,254.202,0.000867303,0.1,,,,,,,
12/31/1987,CPUSAM,,,,115.4,,,,254.202,0,0,,,,,,,
1/31/1988,CPUSAM,,,,115.7,,,,254.202,0.002599653,0.3,,,,,,,
2/29/1988,CPUSAM,,,,116,,,,254.202,0.002592913,0.3,,,,,,,
3/31/1988,CPUSAM,,,,116.5,,,,254.202,0.004310345,0.5,,,,,,,
4/30/1988,CPUSAM,,,,117.1,,,,254.202,0.005150215,0.6,,,,,,,
5/31/1988,CPUSAM,,,,117.5,,,,254.202,0.003415884,0.4,,,,,,,
6/30/1988,CPUSAM,,,,118,,,,254.202,0.004255319,0.5,,,,,,,
7/31/1988,CPUSAM,,,,118.5,,,,254.202,0.004237288,0.5,,,,,,,
8/31/1988,CPUSAM,,,,119,,,,254.202,0.004219409,0.5,,,,,,,
9/30/1988,CPUSAM,,,,119.8,,,,254.202,0.006722689,0.8,,,,,,,
10/31/1988,CPUSAM,,,,120.2,,,,254.202,0.003338898,0.4,,,,,,,
11/30/1988,CPUSAM,,,,120.3,,,,254.202,0.000831947,0.1,,,,,,,
12/31/1988,CPUSAM,,,,120.5,,,,254.202,0.00166251,0.2,,,,,,,
1/31/1989,CPUSAM,,,,121.1,,,,254.202,0.004979253,0.6,,,,,,,
2/28/1989,CPUSAM,,,,121.6,,,,254.202,0.004128819,0.5,,,,,,,
3/31/1989,CPUSAM,,,,122.3,,,,254.202,0.005756579,0.7,,,,,,,
4/30/1989,CPUSAM,,,,123.1,,,,254.202,0.006541292,0.8,,,,,,,
5/31/1989,CPUSAM,,,,123.8,,,,254.202,0.005686434,0.7,,,,,,,
6/30/1989,CPUSAM,,,,124.1,,,,254.202,0.002423263,0.3,,,,,,,
7/31/1989,CPUSAM,,,,124.4,,,,254.202,0.002417405,0.3,,,,,,,
8/31/1989,CPUSAM,,,,124.6,,,,254.202,0.001607717,0.2,,,,,,,
9/30/1989,CPUSAM,,,,125,,,,254.202,0.003210273,0.4,,,,,,,
10/31/1989,CPUSAM,,,,125.6,,,,254.202,0.0048,0.6,,,,,,,
11/30/1989,CPUSAM,,,,125.9,,,,254.202,0.002388535,0.3,,,,,,,
12/31/1989,CPUSAM,,,,126.1,,,,254.202,0.001588562,0.2,,,,,,,
1/31/1990,CPUSAM,,,,127.4,,,,254.202,0.010309278,1.3,,,,,,,
2/28/1990,CPUSAM,,,,128,,,,254.202,0.004709576,0.6,,,,,,,
3/31/1990,CPUSAM,,,,128.7,,,,254.202,0.00546875,0.7,,,,,,,
