"date","housing_price"
1988-02-15,127.1441985
1988-03-17,127.346043
1988-04-16,127.5395686
1988-05-17,128.232619
1988-06-16,128.8842449
1988-07-17,129.4563391
1988-08-16,129.8114509
1988-09-16,129.6393834
1988-10-16,129.6494461
1988-11-16,129.973889
1988-12-16,130.134615
1989-01-16,130.0853013
1989-02-15,130.1662872
1989-03-18,130.1945753
1989-04-17,130.1445668
1989-05-17,130.1501661
1989-06-17,130.5252195
1989-07-17,130.8055818
1989-08-17,130.9923124
1989-09-16,130.826481
1989-10-16,130.3139517
1989-11-16,130.0561199
1989-12-16,129.8074241
1990-01-16,128.5298855
1990-02-15,128.0277015
1990-03-18,127.6688601
1990-04-17,127.8874283
1990-05-17,128.0177595
1990-06-17,127.6655811
1990-07-17,127.2613924
1990-08-17,125.9660017
1990-09-16,124.5170958
1990-10-16,123.2644432
1990-11-16,122.1372911
1990-12-16,121.4832184
1991-01-16,120.0648921
1991-02-15,119.4423001
1991-03-18,119.0973401
1991-04-17,119.1917921
1991-05-17,119.5613269
1991-06-17,119.9695945
1991-07-17,120.1971799
1991-08-17,119.9658259
1991-09-16,119.4178005
1991-10-16,118.8017024
1991-11-16,118.0608912
1991-12-16,117.6664989
1992-01-16,117.2822732
1992-02-15,116.791249
1992-03-17,116.4485916
1992-04-16,116.6911799
1992-05-17,117.0127198
1992-06-16,116.908284
1992-07-17,116.8246581
1992-08-16,116.5248964
1992-09-16,116.0405708
1992-10-16,115.5876406
1992-11-16,115.3977178
1992-12-16,115.305631
1993-01-16,114.6360793
1993-02-15,114.1338557
1993-03-18,113.8184071
1993-04-17,113.9138456
1993-05-17,114.3033965
1993-06-17,114.8652398
1993-07-17,115.4105448
1993-08-17,115.4552487
1993-09-16,115.3182919
1993-10-16,114.8081592
1993-11-16,114.7294156
1993-12-16,114.6457637
1994-01-16,114.4564982
1994-02-15,114.0751457
1994-03-18,113.8984372
1994-04-17,114.2577773
1994-05-17,114.9187024
1994-06-17,115.241779
1994-07-17,115.4531098
1994-08-17,115.3515212
1994-09-16,115.0741905
1994-10-16,114.9442613
1994-11-16,114.5977335
1994-12-16,114.4690925
1995-01-16,113.9423717
1995-02-15,113.4453632
1995-03-18,113.1964921
1995-04-17,113.2366226
1995-05-17,113.4661121
1995-06-17,113.7704662
1995-07-17,114.2517299
1995-08-17,114.2928989
1995-09-16,114.1878064
1995-10-16,113.8010295
1995-11-16,113.7427787
1995-12-16,113.6537848
1996-01-16,112.8734992
1996-02-15,112.4718593
1996-03-17,112.2595235
1996-04-16,112.4555816
1996-05-17,112.8932725
1996-06-16,113.4343352
1996-07-17,113.7245749
1996-08-16,113.8178264
1996-09-16,113.5331215
1996-10-16,113.0758468
1996-11-16,112.762122
1996-12-16,112.6730791
1997-01-16,112.3714349
1997-02-15,112.1065384
1997-03-18,112.2488686
1997-04-17,112.6616965
1997-05-17,113.4631291
1997-06-17,114.033029
1997-07-17,114.4801906
1997-08-17,114.6777875
1997-09-16,114.6056074
1997-10-16,114.4503668
1997-11-16,114.8166888
1997-12-16,115.2469149
1998-01-16,115.4513789
1998-02-15,115.5163133
1998-03-18,115.9662115
1998-04-17,116.6475145
1998-05-17,117.5050555
